Id da Instalação;Id do Equipamento;Nome;Id Tipo de Equipamento;Tipo de Rede;Agente Proprietário;Número da Outorga;Capacidade CPST Longa sem Limitação (A);Capacidade CPST Curta sem Limitação (A);Capacidade CPST Longa com Limitação (A);Capacidade CPST Curta com Limitação (A);Fator Limitante de Longa;Fator Limitante de Curta;Resistência (%);Reatância Fixa (%);Susceptância Shunt (MVAr);Comprimento (Km);Tipo do Cabo Pára-raio;Tensão;Data de Necessidade do SIN;Data Entrada;Data Prevista
MGSGOT;MGSGOT3TMAR1        ;LT  345 kV SAO GOTARDO 2        / TRES MARIAS-SE       C 1  MG          ;LTR;BASICA         ;CEMIG GERAÇÃO E TRANSMISSÃO S.A.                               ;;1879;2198;1879;2198;;;0.55;5.28;86;166;;345;;31/12/1990;
MGBARR;MGBARR3TAQU1        ;LT  345 kV BARREIRO 1           / TAQUARIL             C 1  MG          ;LTR;BASICA         ;CEMIG GERAÇÃO E TRANSMISSÃO S.A.                               ;;1044;1363;960;960;TC Barreiro;TC Barreiro;0.05;0.57;9;18;;345;;01/07/1971;
MGBARB;MGBARB3LAFA1        ;LT  345 kV BARBACENA 2          / LAFAIETE 1           C 1  MG          ;LTR;BASICA         ;CEMIG GERAÇÃO E TRANSMISSÃO S.A.                               ;;1290;1290;1200;1200;BB BARB e LAFA;BB BARB e LAFA;0.21;1.98;33;62;;345;;01/04/1977;
MGBARB;MGBARB3PIME1        ;LT  345 kV BARBACENA 2          / PIMENTA              C 1  MG          ;LTR;BASICA         ;CEMIG GERAÇÃO E TRANSMISSÃO S.A.                               ;;1451;1451;1170;1170;TC Pimenta;TC Pimenta;0.65;7.16;123;231;;345;;01/04/1976;
MGUSFU;MGUSFU3PIME1        ;LT  345 kV FURNAS               / PIMENTA              C 1  MG          ;LTR;BASICA         ;CENTRAIS ELETRICAS BRASILEIRAS SA ELETROBRAS                   ;;1298;1635;1298;1635;cabo;cabo;0.22;2.18;33;66;;345;;31/12/1990;
MGJGSE;MGJGUS3USLB1SP      ;LT  345 kV JAGUARA-US           / L.C.BARRETO          C 1  MG/SP       ;LTR;BASICA         ;CEMIG GERAÇÃO E TRANSMISSÃO S.A.                               ;;1948;1948;1755;1755;TC Jaguara;TC Jaguara;0.07;0.76;12;24;;345;;31/12/1990;
SPITE ;SPITE-3STMO2        ;LT  345 kV ITAPETI              / MOGI CRUZES          C 2  SP          ;LTR;BASICA         ;ISA ENERGIA BRASIL S.A.                                        ;;1526;1846;1526;1846;;;0.02;0.16;3;5;;345;;15/01/1999;
SPITE ;SPITE-3STMO1        ;LT  345 kV ITAPETI              / MOGI CRUZES          C 1  SP          ;LTR;BASICA         ;ISA ENERGIA BRASIL S.A.                                        ;;1526;1846;1526;1846;;;0.02;0.16;3;5;;345;;31/12/1990;
SPITE ;SPITE-3STTP2        ;LT  345 kV ITAPETI              / TIJUCO PRETO         C 2  SP          ;LTR;BASICA         ;ISA ENERGIA BRASIL S.A.                                        ;;1981;2330;1981;2330;;;0.07;0.64;11;21;;345;;31/12/1990;
SPITE ;SPITE-3STTP1        ;LT  345 kV ITAPETI              / TIJUCO PRETO         C 1  SP          ;LTR;BASICA         ;ISA ENERGIA BRASIL S.A.                                        ;;1981;2330;1981;2330;;;0.07;0.64;11;21;;345;;31/12/1990;
