Id da Instala��o;Nome;Id Agente Principal;Agente Principal;Data Prevista;Data Entrada,x,y
BASVT ;SUB COLETORA SAO VITOR                             BA       ;VVR;VENTOS DE SÃO VITOR 01 ENERGIAS RENOVÁVEIS S.A.                ;01/02/2022;18/07/2023,-42.53801599999997,-10.956666999999982
BAUPR4;USI UTE PROSPERIDADE 4                             BA       ;IME;IMETAME ENERGIA LTDA                                           ;31/01/2023;30/05/2023,-38.20735191,-12.499602479999965
BABBS ;SUB BABILONIA SUL                                  BA       ;CVR;Casa dos Ventos Energias Renováveis SA                         ;30/09/2023;17/11/2022,-41.290773,-11.119976999999949
RNRVE ;SUB RIO DO VENTO EXPANSAO                          RN       ;CVR;Casa dos Ventos Energias Renováveis SA                         ;01/11/2022;07/03/2023,-36.113235599999996,-5.8088277999999605
BACRL ;SUB CRISTALANDIA                                   BA       ;PCE;CRISTALANDIA I EOLICA S.A.                                     ;30/12/2017;01/09/2017,-41.532763999999986,-14.031475
CEPTM ;SUB PITOMBEIRA                                     CE       ;EV1;ENERGIA DOS VENTOS I S.A                                       ;30/09/2018;22/12/2018,-37.64735099999996,-4.605373999999983
RNCMR ;SUB COL CUMARU                                     RN       ;CMR;ENEL GREEN POWER CUMARU 01 S.A.                                ;01/04/2021;,-35.801443199999994,-5.161585399999979
CESER ;SUB SERROTE                                        CE       ;SR1;SERROTE I GERACAO DE ENERGIA ELETRICA S.A                      ;30/09/2020;,-39.34899999999999,-3.301999999999964
RNJDA ;SUB JANDAIRA I                                     RN       ;JIE;JANDAIRA I ENERGIAS RENOVAVEIS S.A.                            ;01/02/2022;15/10/2022,-36.019137099999966,-5.410766599999988
RNAMZ ;SUB AMAZONAS                                       RN       ;AAI;Usina de Energia Eólica Caiçara I SA                           ;01/11/2015;05/12/2015,-36.9375,-5.016666999999984
PICHP1;SUB CHAPADA I                                      PI       ;ONT;SIMÕES TRANSMISSORA DE ENERGIA ELÉTRICA S.A.                   ;31/10/2015;18/12/2015,-40.715693999999985,-7.5619029999999725
BAVSE ;SUB VENTOS DE SANTA EUGENIA                        BA       ;99;STATKRAFT ENERGIAS RENOVAVEIS S/A                              ;31/10/2022;22/12/2022,-42.168093999999996,-11.428695500000003
CEUCZS;SUB ICARAIZINHO SE                                 CE       ;ERE;CPFL ENERGIAS RENOVAVEIS S.A.                                  ;30/09/2009;14/10/2009,-39.67868599999997,-3.0191810000000032
BASDS ;SUB SOL DO SERTAO                                  BA       ;BJ8;ETB - EMPRESA DE TRANSMISSAO BAIANA S.A.                       ;31/07/2021;18/07/2021,-42.610434,-12.323912999999948
CEUFMS;SUB PRAIA FORMOSA SE                               CE       ;ERE;CPFL ENERGIAS RENOVAVEIS S.A.                                  ;30/07/2009;26/08/2009,-41.031649999999956,-2.9194219999999973
PISGO ;SUB SAO GONCALO                                    PI       ;SG1;ENEL GREEN POWER SAO GONCALO 1 S.A.                            ;31/10/2019;22/02/2020,-45.282352,-10.103854999999953
PBLZA ;SUB COLETORA LUZIA                                 PB       ;FEB;NEOENERGIA RENOVAVEIS S.A.                                     ;28/05/2022;06/07/2022,-36.93286999999998,-6.840795999999955
RNBSL ;SUB BLOCO SUL                                      RN       ;SMP;Santa Mônica Energias Renováveis Ltda.                         ;30/09/2016;13/08/2016,-35.79793699999999,-5.294070999999974
RNSDM ;SUB SERRA DO MEL                                   RN       ;VC2;VENTOS DE VILA CEARÁ II SPE S.A                                ;30/11/2019;08/02/2020,-37.049532,-5.131424999999979
BAUPR1;USI UTE PROSPERIDADE 1                             BA       ;IME;IMETAME ENERGIA LTDA                                           ;31/01/2018;16/10/2018,-38.207802990000005,-12.499785329999952
PICHP3;SUB CHAPADA III                                    PI       ;ONT;SIMÕES TRANSMISSORA DE ENERGIA ELÉTRICA S.A.                   ;30/12/2015;16/01/2016,-40.683492,-7.391286799999989
PICHP2;SUB CHAPADA II                                     PI       ;ONT;SIMÕES TRANSMISSORA DE ENERGIA ELÉTRICA S.A.                   ;31/08/2015;16/06/2015,-40.758264,-7.4764169999999694
RNSDM2;SUB SERRA DO MEL 2                                 RN       ;345;EOL POTIGUAR B31 SPE S.A.                                      ;27/12/2020;20/04/2021,-37.113856329999976,-5.27197179999996
PILV3 ;SUB LAGOA DOS VENTOS III                           PI       ;AQW;Enel Green Power Ventos de São Roque 01 SA                     ;01/08/2021;01/10/2022,-41.59515829999998,-8.87290889999997
BAUPR2;USI UTE PROSPERIDADE 2                             BA       ;IME;IMETAME ENERGIA LTDA                                           ;31/01/2023;24/05/2023,-38.20733610999997,-12.499613889999978
BATUC ;SUB TUCANO                                         BA       ;90;TUCANO F2 GERACAO DE ENERGIAS SPE S.A.                         ;26/11/2021;09/07/2022,-38.7912,-11.28589999999997
BAFLA ;SUB FOLHA LARGA                                    BA       ;VSJ;PARQUE EOLICO VENTOS DE SAO JANUARIO 01 S.A.                   ;31/01/2020;14/05/2020,-40.43820499999998,-10.35448699999995
BAFLS ;SUB FOLHA LARGA SUL                                BA       ;DT5;VENTOS DE SAO BENTO ENERGIAS RENOVAVEIS S.A                    ;31/01/2020;14/05/2020,-40.51716299999998,-10.45814999999999
MADLT ;SUB COLETORA DELTA 3                               MA       ;D3I;DELTA 3 I ENERGIA S.A.                                         ;31/05/2017;07/07/2017,-42.642607999999996,-2.637999999999977
RNRDV ;SUB RIO DO VENTO                                   RN       ;CVR;Casa dos Ventos Energias Renováveis SA                         ;14/04/2021;19/06/2021,-35.960819999999956,-5.890821999999957
BAQUN ;SUB QUINA                                          BA       ;986;Renova Energia SA                                              ;20/04/2022;05/08/2022,-42.67268999999999,-14.009271999999953
RNJDT ;SUB JANDAIRA III                                   RN       ;AFN;AF ENERGIA SA                                                  ;01/07/2022;21/07/2023,-36.0188632,-5.410814499999958
PIVDP2;SUB VDP2_VENTOS DO PIAUI II                        PI       ;DIC;VENTOS DE SANTO ALDERICO ENERGIAS RENOVÁVEIS S.A.              ;01/03/2022;02/09/2022,-40.67066999999997,-8.041972999999984
CEALX ;SUB ALEX                                           CE       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;30/10/2020;19/08/2021,-37.96772099999998,-5.270943999999986
RNJER ;SUB JERUSALEM                                      RN       ;164;EDP RENOVÁVEIS BRASIL S/A                                      ;01/02/2022;22/12/2022,-36.12169789999996,-5.659692599999971
BACORT;SUB CORRENTINA                                     BA       ;CTP;ISA ENERGIA BRASIL S.A.                                        ;30/12/2022;,-44.741510000000005,-13.41386
BAJUSS;SUB JUSSIAPE                                       BA       ;622;GRANDE SERTAO II TRANSMISSORA DE ENERGIA S/A                   ;30/12/2029;,-41.539999999999964,-13.560000000000002
CEPCT;SUB PACATUBA                                       CE       ;DTE; DUNAS TRANSMISSÃO DE ENERGIA S.A.                             ;19/09/2024;16/10/2024,-38.549093865999964,-3.8871221129999753
PITEIV;SUB TERESINA IV                                    PI       ;ENT;CENTRAIS ELETRICAS DO NORTE DO BRASIL S/A - ELETRONORTE        ;30/06/2029;,-42.60599941999999,-5.139999969999963
MAGAR;SUB GRAÇA ARANHA                                   MA       ;GAS;Graça Aranha Silvania Transmissora de Energia S.A.             ;30/12/2022;,-44.35665999999998,-5.374209999999948
CEMDN;SUB MORADA NOVA                                    CE       ;;;31/12/2022;,-38.45000032399997,-5.1280004969999595
BABAR;SUB BARRA II                                       BA       ;CTP;ISA ENERGIA BRASIL S.A.                                        ;30/12/2022;,-43.41839999999996,-11.26867999999996
CEPCT;SUB PACATUBA                                       CE       ;DTE; DUNAS TRANSMISSÃO DE ENERGIA S.A.                             ;19/09/2024;16/10/2024,-38.549093865999964,-3.8871221129999753
PEBNO2;SUB BOM NOME II                                    PE       ;;;30/12/2029;,-38.650980000000004,-8.03116
BAMDN2;SUB MEDEIROS NETO II                               BA       ;EK7;NEOENERGIA MORRO DO CHAPEU TRANSMISSAO E ENERGIA S.A.          ;06/12/2023;03/02/2024,-40.18062193399999,-17.337544690999948
BACF2;SUB CAMPO FORMOSO II                               BA       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;30/03/2029;,-40.981999916999996,-10.265000001999965
CEMAUR;SUB MAURITI                                        CE       ;CCE;Companhia Energética do Ceará                                  ;;31/12/1990,-38.78200006899999,-7.36500018299995
CEABA;SUB ABAIARA                                        CE       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;31/12/2023;25/11/2023,-38.97200015699997,-7.390999715999953
PEZB3;SUB ZEBU III                                       PE       ;;;30/12/2022;,-38.148000051999986,-9.34199999699996
RNSPL ;SUB SIMPLICE                                       RN       ;DUN;DUNAMIS PROJETOS DE ENERGIA FOTOVOLTAICA SPE S.A.              ;30/11/2023;24/11/2024,-36.383399946,-5.485900095999966
MASLT ;SUB SANTA LUZIA III                                MA       ;TNG;TANGARÁ TRANSMISSÃO DE ENERGIA S.A.                            ;31/12/2016;,-45.712000047000004,-4.004999990999977
CECTE;SUB CRATÉUS                                        CE       ;T32;SPE NOVA ERA TERESINA TRANSMISSORA S.A.                        ;30/06/2029;,-40.66800006599999,-5.175000103000002
BAARI;SUB ARIZONA                                        BA       ;SDV;SERRA DO VENTO ENERGETICA S.A.                                 ;31/08/2020;19/11/2020,-41.00619825299998,-9.751812197999982
BABDI;SUB BRUMADO I                                      BA       ;CBA;Companhia de Eletricidade do Estado da Bahia                   ;;31/12/1999,-41.65480477899996,-14.205880320999995
BABJU;SUB BOM JESUS                                      BA       ;BJS;ENEL GREEN POWER BOM JESUS DA LAPA SOLAR S.A.                  ;31/07/2017;30/06/2017,-43.33305028199999,-13.299456074999966
BAFFUT;SUB COMPLEXO_FUTURA                                BA       ;MP1;ENEVA S.A.                                                     ;15/10/2022;24/05/2023,-40.68602086799996,-9.660781928999995
BAGPX;SUB GPEXPAN                                        BA       ;ACA;ACAUA ENERGIA S/A                                              ;30/06/2018;17/09/2019,-42.63126724199998,-14.395531105999964
BAHRZ;SUB HORIZONTE MP                                   BA       ;HMP;ENEL GREEN POWER HORIZONTE MP SOLAR S.A.                       ;15/07/2017;15/03/2018,-44.083243883999955,-12.60426918799999
BAJRB;SUB JEREMOABO                                      BA       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;31/12/2021;05/03/2023,-38.29914767899999,-10.16150014599998
BALAP;SUB LAPA                                           BA       ;NOV;NOVA OLINDA SUL SOLAR S.A.                                     ;31/10/2017;30/06/2017,-43.35158087499997,-13.310839018999957
BAMCS;SUB MORRO DO CHAPEU SUL                            BA       ;MCE;Enel Green Power Morro do Chapéu I Eólica SA                   ;30/12/2018;29/06/2018,-41.31542763099998,-11.592893858999958
BAOIT;SUB SUB OITIS                                      PI       ;NOM;NEOENERGIA OPERAÇÃO E MANUTENÇÃO S.A.                          ;14/03/2022;22/07/2022,-41.73469104899999,-9.040340256999968
BASSB;SUB SERTAO SOLAR BARREIRAS                         BA       ;SB1;SOLAR BARREIRAS I ENERGIA SPE LTDA                             ;30/11/2019;23/11/2019,-45.59780997499996,-12.051320867999948
BAVTC;SUB VITORIA DA CONQUISTA                           BA       ;CBA;Companhia de Eletricidade do Estado da Bahia                   ;;31/12/1999,-40.831205214999954,-14.833073776999981
CECHE;SUB PEDRA CHEIROSA                                 CE       ;PC1;PEDRA CHEIROSA I ENERGIA S.A.                                  ;30/04/2018;27/06/2017,-39.73749984599999,-3.0058329649999678
CELAV;SUB LAVRAS                                         CE       ;FDF;Lavras 1 Energias Renovaveis S.A.                              ;15/01/2022;29/07/2022,-38.93281184199998,-3.7917278169999804
CEPCI;SUB PICI                                           CE       ;CCE;Companhia Energética do Ceará                                  ;;31/12/1990,-38.58324992399997,-3.745391038999969
CESJAN;SUB JANDAIA                                        CE       ;JAN;ENERGIA DOS VENTOS VII S.A.                                    ;31/01/2020;30/05/2020,-37.84419996699995,-4.4088001399999825
MASCC;SUB HEINEKEN-MA                                    MA       ;CMA;EQUATORIAL MARANHAO DISTRIBUIDORA DE ENERGIA S.A               ;01/04/2004;17/10/2004,-43.41081382699997,-4.8715901119999785
PBCHN;SUB CHAFARIZ NORTE                                 PB       ;TYF;CANOAS 2 ENERGIA RENOVÁVEL S/A                                 ;30/06/2021;03/12/2021,-36.814211967000006,-6.882065090999959
PBCHS;SUB CHAFARIZ SUL I                                 PB       ;CHH;CHAFARIZ 4 ENERGIA RENOVAVEL S.A.                              ;31/07/2021;25/09/2021,-36.87949468299996,-6.971063979999997
PBCHSD;SUB CHAFARIZ SUL II                                PB       ;EOL;CHAFARIZ 1 ENERGIA RENOVÁVEL S/A                               ;31/07/2021;29/07/2021,-36.88792663299995,-6.983395855999959
PBSSD;SUB SERRA DO SERIDO                                PB       ;EDF;EDF EN DO BRASIL PARTICIPACÕES LTDA                            ;01/12/2022;27/12/2022,-36.79921959999996,-6.9905399379999835
PEBELM;SUB BELMONTE II                                    PE       ;LMZ;BELMONTE II PARQUE SOLAR S.A.                                  ;31/05/2023;25/10/2023,-38.83470979699996,-7.870061184999997
PEBRI;SUB BRIGIDA                                        PE       ;BGS;BRIGIDA SOLAR SPE LTDA                                         ;15/04/2021;26/06/2021,-39.59164189699999,-8.565919004999955
PISAM;SUB SANTO AMARO                                    PI       ;CQL;CENTRAL GERADORA SOLAR COQUEIRAL S/A                           ;30/12/2016;17/11/2022,-40.54925028699995,-7.307894155999975
